tag,near_synonyms
autocunnilingus,"cunnilingus, masturbation"
autofacial,"cum_on_self, facial"
autofellatio,"fellatio, masturbation"
autopaizuri,"masturbation, paizuri"
axe,"battle_axe, blood_on_axe, double-sided_axe, fire_axe, hatchet_(axe), holding_axe, minecraft_axe, planted_axe, tomahawk"
azalea_(flower),flower
azure_flute,flute
azure_hypnocatrice_(armor),hypnocatrice_(armor)
b&t_mp9,submachine_gun
baby_animal,"animal, bear_cub, calf_(animal), chick, duckling, fawn, fox_cub, kitten, lamb, lion_cub, panda_cub, penguin_chick, piglet, puppy, tiger_cub, wolf_cub"
babydoll,"frilled_babydoll, see-through_babydoll, aqua_babydoll, black_babydoll, blue_babydoll, brown_babydoll, cupless_babydoll, green_babydoll, grey_babydoll, pink_babydoll, purple_babydoll, red_babydoll, ribbon-trimmed_babydoll, white_babydoll, yellow_babydoll"
back,"arm_around_another's_back, arm_held_back, arms_around_another's_back, bangs_pinned_back, bare_back, bent_back, back_cover, back_tattoo, breasts_on_another's_back, cum_on_back, facing_back, gun_on_back, hair_pulled_back, hair_slicked_back, hand_on_another's_back, hands_on_another's_back, hat_on_back, head_back, instrument_case_on_back, scar_on_back, shield_on_back, sidelocks_tied_back, sway_back, sword_on_back, weapon_on_back, back_focus"
back_cover,"back, cover"
back_pain,pain
back_tattoo,"tattoo, back, tramp_stamp"
backboob,"breasts, far_side_backboob"
backless_dress,"dress, backless_outfit"
backpack,"bag, randoseru, unworn_backpack"
backpacking_stove,portable_stove
backward-facing_horns,horns
bacon,food
bad_anatomy,"bad_ass, bad_face, bad_hands, bad_leg, bad_neck, bad_vulva"
bad_reflection,"artistic_error, reflection"
badge,"button_badge, police_badge, sheriff_badge, badge_(pokemon), character_badge, fukutaichou_badge, holding_badge"
bag,"backpack, bagged_fish, duffel_bag, handbag, holding_bag, in_bag, kindergarten_bag, paper_bag, plastic_bag, satchel, school_bag, shopping_bag, shoulder_bag, tote_bag, unworn_bag"
bagged_fish,"fish, bag"
bagpipes,instrument
bagua,trigram
balalaika_(instrument),instrument
bald,bald_female
ball,"american_football_(object), ball_insertion, baseball_(object), basketball_(object), beachball, billiard_ball, bowling_ball, exercise_ball, golf_ball, holding_ball, soccer_ball, table_tennis_ball, temari_ball, tennis_ball, volleyball_(object)"
ball_and_chain_(weapon),"weapon, spiked_ball_and_chain"
ball_busting,"cbt, dildo_ball_busting, self_ball_busting"
ball_insertion,"ball, unusual_insertion, poke_ball_insertion"
balljob,testicles
balloon,"heart_balloon, holding_balloon"
bamboo_forest,"bamboo, forest"
bamboo_shoot,holding_bamboo_shoot
banana,"fruit, banana_slice"
banana_hair_ornament,food-themed_hair_ornament
band_shirt,"shirt, merchandise"
bandages,"bandage_on_face, bandaged_arm, bandaged_fingers, bandaged_foot, bandaged_hand, bandaged_head, bandaged_leg, bandaged_neck, bandaged_wrist, bandages_over_eyes, blood_on_bandages, holding_bandages, naked_bandage"
bandaid,"bandaid_hair_ornament, bandaid_on_arm, bandaid_on_ass, bandaid_on_breast, bandaid_on_clothes, bandaid_on_face, bandaid_on_foot, bandaid_on_hand, bandaid_on_head, bandaid_on_leg, bandaid_on_neck, bandaid_on_pussy, bandaid_on_shoulder, bandaids_on_nipples, holding_bandaid"
bandaid_hair_ornament,"hair_ornament, bandaid"
bandaid_on_anus,bandaid
bandaid_on_face,"bandaid, bandaid_on_cheek, bandaid_on_forehead, bandaid_on_nose"
bandaid_on_forehead,"forehead, bandaid_on_face"
bandaid_on_hand,"bandaid, bandaid_on_finger"
bandaid_on_head,"on_head, bandaid"
bandaid_on_leg,"bandaid, bandaid_on_knee, bandaid_on_thigh"
bandaid_on_nose,"nose, bandaid_on_face"
bandaid_on_pussy,"pussy, bandaid"
bandaid_on_shoulder,"on_shoulder, bandaid"
bandaids_on_nipples,"nipples, bandaid, pasties"
bandana,"print_bandana, aqua_bandana, bandana_around_neck, bandana_over_mouth, black_bandana, blue_bandana, brown_bandana, green_bandana, grey_bandana, orange_bandana, pink_bandana, purple_bandana, red_bandana, white_bandana, yellow_bandana"
bandeau,"bandeau_lift, bandeau_pull, black_bandeau, blue_bandeau, brown_bandeau, green_bandeau, grey_bandeau, off-shoulder_bandeau, orange_bandeau, pink_bandeau, purple_bandeau, red_bandeau, striped_bandeau, white_bandeau, yellow_bandeau"
bandeau_lift,"bandeau, clothes_lift"
bandeau_pull,"bandeau, clothes_pull"
banjo,instrument
